class,predicate,ent_etimp,entf_bits,etimp
Species,wikiPageExternalLink,309.644671,20.641919,1045211.6734
Person,wikiPageExternalLink,307.759919,20.664987,1016583.0099
Species,sameAs,307.385185,21.019844,961265.3315
Person,sameAs,306.366906,20.934973,960174.5637
Species,careerStation,285.109734,20.710971,743783.9238
Person,careerStation,284.170132,20.710971,734027.4811
Species,name,282.808404,20.155550,781241.5077
Person,name,280.474207,20.112560,760623.3408
Species,birthPlace,227.084416,14.170129,934604.5510
Species,name,226.144272,20.027274,325594.3642
Person,birthPlace,224.348871,14.169586,890479.8130
Person,name,222.847187,19.980852,309162.3723
Species,birthPlace,216.434251,12.986597,1001885.0877
Person,subject,216.167166,15.017199,644751.1831
Person,birthPlace,214.385662,12.986591,964489.3437
Species,subject,213.092274,15.096476,599299.6919
Person,wikiPageUsesTemplate,139.179315,8.390035,635341.8743
Species,wikiPageUsesTemplate,137.260420,8.401142,598640.7802
AdministrativeArea,wikiPageExternalLink,101.065701,15.703081,26943.9049
AdministrativeArea,sameAs,89.309870,16.536146,14070.0259
AdministrativeArea,subdivisionName,79.705502,11.235986,28452.4504
ChemicalCompound,alternativeName,61.473812,13.719601,5530.1401
AdministrativeArea,name,57.520137,15.373804,3012.5592
ChemicalCompound,othernames,57.244177,12.471780,5535.2842
ChemicalCompound,sameAs,56.117150,14.255417,3423.2816
AdministrativeArea,subject,51.206308,13.365851,2879.4136
AdministrativeArea,subdivisionType,50.527713,6.149453,28029.1020
ChemicalCompound,imagefile,45.927722,13.259602,1908.5704
AdministrativeArea,wikiPageID,44.209387,15.726804,982.0567
Star,sameAs,40.539976,12.924441,1251.1189
AdministrativeArea,wikiPageLength,39.460149,13.515520,982.0567
Star,class,27.647253,10.126145,562.6983
Star,appmagV,27.527758,9.945099,583.7892
AdministrativeArea,wikiPageUsesTemplate,27.327952,8.281276,982.0567
Galaxy,name,18.580862,11.506637,78.2381
ChemicalCompound,wasDerivedFrom,16.235430,13.637983,27.3908
ChemicalCompound,isPrimaryTopicOf,16.235430,13.637983,27.3908
ChemicalCompound,wikiPageID,16.235430,13.637983,27.3908
ChemicalCompound,subject,14.916767,10.581325,41.7906
Galaxy,wasDerivedFrom,13.923586,10.939579,28.7080
Galaxy,label,13.923586,10.939579,28.7080
Galaxy,wikiPageID,13.923586,10.939579,28.7080
Galaxy,isPrimaryTopicOf,13.923586,10.939579,28.7080
Galaxy,wikiPageRevisionID,13.923586,10.939579,28.7080
Galaxy,wikiPageLength,13.606936,10.609125,28.7080
Star,label,12.457661,12.290595,12.9726
Star,wasDerivedFrom,12.457661,12.290595,12.9726
Star,wikiPageRevisionID,12.457661,12.290595,12.9726
Galaxy,subject,8.807971,5.940646,28.7080
ChemicalCompound,wikiPageUsesTemplate,8.592312,5.838193,27.3908
Galaxy,wikiPageUsesTemplate,8.172877,5.376493,28.7080
Star,subject,7.530292,6.065063,14.4126
Star,wikiPageUsesTemplate,6.659233,5.331996,12.9726
Star,epoch,4.375797,1.886430,54.6143
Galaxy,type,0.000000,2.807355,0.0000
ChemicalCompound,type,0.000000,2.560222,0.0000
Person,type,0.000000,4.404830,0.0000
Star,type,0.000000,2.585419,0.0000
AdministrativeArea,type,0.000000,3.591984,0.0000
Species,type,0.000000,4.450776,0.0000
