class,predicate,distinct_objects,total_objects,uniqueness
Thing,label,4784820,4784820,1.000000
Thing,name,3285801,4220851,0.778469
Concept,label,2610646,2610646,1.000000
Thing,thumbnail,2568557,2789388,0.920832
Thing,careerStation,1985932,1985932,1.000000
Species,careerStation,1985932,1985932,1.000000
Q19088,careerStation,1985932,1985932,1.000000
Eukaryote,careerStation,1985918,1985918,1.000000
Species,label,1608007,1608007,1.000000
Q19088,label,1604122,1604122,1.000000
Eukaryote,label,1604118,1604118,1.000000
Species,name,1504798,1773252,0.848609
Q19088,name,1502547,1770964,0.848435
Eukaryote,name,1502545,1770961,0.848435
Thing,title,1226993,2395399,0.512229
Thing,caption,905743,1218950,0.743052
Species,thumbnail,741786,762700,0.972579
Q19088,thumbnail,741627,762520,0.972600
Eukaryote,thumbnail,741625,762518,0.972600
Thing,report,668194,798949,0.836341
Thing,goals,578206,2452120,0.235798
Q19088,termPeriod,469898,469898,1.000000
Thing,termPeriod,469897,469897,1.000000
Species,termPeriod,469897,469897,1.000000
Eukaryote,termPeriod,469897,469897,1.000000
Thing,candidate,460035,817448,0.562770
Species,caption,422798,465747,0.907785
Eukaryote,caption,422795,465743,0.907786
Q19088,caption,422794,465743,0.907784
Thing,website,366413,386878,0.947102
Thing,writer,352756,968371,0.364278
Thing,occupation,311184,515006,0.604234
Species,occupation,310453,509756,0.609023
Q19088,occupation,310452,509755,0.609022
Eukaryote,occupation,310452,509755,0.609022
Thing,wikiPageUsesTemplate,309100,46461209,0.006653
Thing,spouse,285448,545199,0.523567
Species,spouse,277135,528880,0.524004
Q19088,spouse,277134,528879,0.524003
Eukaryote,spouse,277134,528879,0.524003
Thing,birthPlace,271034,1706646,0.158811
Thing,birthName,268224,271436,0.988167
Q19088,birthPlace,267743,1674939,0.159852
Species,birthPlace,267742,1674938,0.159852
Eukaryote,birthPlace,267742,1674938,0.159852
Thing,predecessor,264420,368861,0.716855
Q19088,birthName,262716,265785,0.988453
Eukaryote,birthName,262715,265784,0.988453
Species,birthName,262714,265783,0.988453
Thing,starring,255222,781318,0.326656
Thing,successor,251139,335361,0.748862
Species,predecessor,243974,342861,0.711583
Eukaryote,predecessor,243974,342861,0.711583
Q19088,predecessor,243973,342860,0.711582
Thing,producer,242197,615036,0.393793
Thing,location,241905,1083532,0.223256
Thing,fullname,239785,244464,0.980860
Thing,nativeName,235855,277243,0.850716
Species,successor,232477,310550,0.748598
Q19088,successor,232477,310549,0.748600
Eukaryote,successor,232477,310550,0.748598
Thing,officialName,230020,263232,0.873830
Thing,cover,211225,216725,0.974622
Thing,url,207501,231742,0.895397
Thing,birthName,206264,207702,0.993077
Q19088,birthName,206264,207702,0.993077
Species,birthName,206263,207701,0.993077
Eukaryote,birthName,206263,207701,0.993077
Thing,title,198674,538929,0.368646
Species,fullname,194014,196503,0.987334
Q19088,fullname,194014,196503,0.987334
Eukaryote,fullname,194014,196503,0.987334
Species,currentMember,189445,555974,0.340744
Q19088,currentMember,189445,555975,0.340744
Thing,currentMember,189444,555974,0.340743
Eukaryote,currentMember,189444,555972,0.340744
Thing,id,189125,254861,0.742071
Thing,nextTitle,181752,197120,0.922037
Thing,imageCaption,180608,204857,0.881630
Thing,prevTitle,176874,191687,0.922723
